seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,retrack_conflict_window
21,RCW900,3600,1200,0.0,900,-10000.0,41153.999999999985,39973.49999999999,1180.499999999995,0.1668074879827659,175,94,0,0,10890,4.467047929763794,0.0475217864868488,0.8631772268135905,9400.0,False,900
22,RCW900,3600,1200,0.0,900,-10000.0,42431.99999999996,37910.39999999999,4521.599999999976,0.6736828630979014,175,94,0,0,10887,4.451162338256836,0.0473527908325195,0.8634150822081382,9400.0,False,900
23,RCW900,3600,1200,0.0,900,-10000.0,40328.50000000002,36322.8,4005.700000000019,0.6229035811612075,143,94,0,0,10844,4.319631814956665,0.0459535299463475,0.866838804869052,9400.0,False,900
24,RCW900,3600,1200,0.0,900,-10000.0,37435.9,34988.2,2447.7000000000035,0.3951466588641414,168,94,0,0,10871,4.355386972427368,0.0463339039619932,0.8646858614662865,9400.0,False,900
0,RCW1200,3600,1200,0.0,1200,-10000.0,37570.899999999994,34481.99999999999,3088.9000000000033,0.505979740345497,136,94,0,0,10873,4.470601797103882,0.0475595935862115,0.864526809528189,9400.0,False,1200
1,RCW1200,3600,1200,0.0,1200,-10000.0,40690.5,36853.4,3837.099999999996,0.588094724228703,112,94,0,0,10902,4.349285840988159,0.0462689983083846,0.8622271142909558,9400.0,False,1200
2,RCW1200,3600,1200,0.0,1200,-10000.0,40654.4,36939.20000000001,3715.199999999989,0.5680890772933894,139,94,0,0,10859,4.2773027420043945,0.0455032206596212,0.8656414034441476,9400.0,False,1200
3,RCW1200,3600,1200,0.0,1200,-10000.0,37015.29999999998,35569.39999999999,1445.899999999991,0.2296061122299392,121,93,0,0,10880,4.255803823471069,0.0457613314351727,0.854779411764706,9300.0,False,1200
4,RCW1200,3600,1200,0.0,1200,-10000.0,42574.89999999998,38512.39999999998,4062.499999999997,0.5958192315053998,122,94,0,0,10873,4.334601879119873,0.0461127859480837,0.864526809528189,9400.0,False,1200
5,RCW1200,3600,1200,0.0,1200,-10000.0,42393.7,39892.70000000002,2500.9999999999773,0.3541130951910333,106,94,0,0,10886,4.508077621459961,0.0479582725687229,0.8634943964725336,9400.0,False,1200
6,RCW1200,3600,1200,0.0,1200,-10000.0,40863.5,36275.2,4588.300000000001,0.7144366362730427,109,94,0,0,10880,4.308530569076538,0.0458354315859206,0.8639705882352942,9400.0,False,1200
7,RCW1200,3600,1200,0.0,1200,-10000.0,39789.6,36956.80000000001,2832.799999999987,0.4329555196729823,126,94,0,0,10878,4.409364700317383,0.0469081351097593,0.8641294355580069,9400.0,False,1200
8,RCW1200,3600,1200,0.0,1200,-10000.0,39311.30000000001,35925.700000000004,3385.6000000000076,0.5322946898921769,130,93,0,0,10870,4.304025411605835,0.0462798431355466,0.8555657773689054,9300.0,False,1200
9,RCW1200,3600,1200,0.0,1200,-10000.0,36006.09999999998,34813.49999999999,1192.5999999999833,0.1934945976653908,120,94,0,0,10856,4.31601357460022,0.0459150380276619,0.8658806190125277,9400.0,False,1200
10,RCW1200,3600,1200,0.0,1200,-10000.0,34979.29999999999,33762.399999999994,1216.8999999999942,0.2035838424069109,144,94,0,0,10848,4.3011744022369385,0.0457571744918823,0.866519174041298,9400.0,False,1200
11,RCW1200,3600,1200,0.0,1200,-10000.0,38314.59999999999,36267.69999999999,2046.8999999999987,0.3187853376147642,128,94,0,0,10875,4.3871684074401855,0.04667200433447,0.864367816091954,9400.0,False,1200
12,RCW1200,3600,1200,0.0,1200,-10000.0,42900.29999999998,39221.99999999999,3678.299999999991,0.5297111791375203,124,94,0,0,10901,4.303083419799805,0.0457774831893596,0.8623062104394094,9400.0,False,1200
13,RCW1200,3600,1200,0.0,1200,-10000.0,41068.600000000035,36978.900000000016,4089.70000000002,0.6246822846613566,120,94,0,0,10890,4.3888914585113525,0.0466903346650143,0.8631772268135905,9400.0,False,1200
14,RCW1200,3600,1200,0.0,1200,-10000.0,40799.19999999998,37115.7,3683.499999999984,0.5605634083879114,115,94,0,0,10883,4.384409666061401,0.0466426560219298,0.8637324267205734,9400.0,False,1200
15,RCW1200,3600,1200,0.0,1200,-10000.0,38580.89999999998,36734.89999999998,1845.9999999999995,0.283840629560912,112,93,0,0,10866,4.284311056137085,0.0460678608186783,0.8558807288790724,9300.0,False,1200
16,RCW1200,3600,1200,0.0,1200,-10000.0,38799.3,37515.0,1284.2999999999938,0.1933674002926292,103,94,0,0,10874,4.261489629745483,0.0453349960611221,0.8644473054993563,9400.0,False,1200
17,RCW1200,3600,1200,0.0,1200,-10000.0,42387.200000000026,41228.300000000025,1158.9000000000042,0.1587713955044167,119,93,0,0,10905,4.391931056976318,0.0472250651287776,0.8528198074277854,9300.0,False,1200
18,RCW1200,3600,1200,0.0,1200,-10000.0,41417.0,38201.6,3215.4000000000005,0.4754175189026086,121,95,0,0,10884,4.268914222717285,0.0449359391864977,0.8728408673281882,9500.0,False,1200
19,RCW1200,3600,1200,0.0,1200,-10000.0,42675.399999999994,40064.5,2610.899999999998,0.3680884902764619,142,94,0,0,10881,4.364967346191406,0.0464358228318234,0.8638911864718317,9400.0,False,1200
20,RCW1200,3600,1200,0.0,1200,-10000.0,39370.19999999998,38008.99999999999,1361.1999999999937,0.2022819927842413,113,94,0,0,10883,4.498202323913574,0.0478532162118465,0.8637324267205734,9400.0,False,1200
21,RCW1200,3600,1200,0.0,1200,-10000.0,41321.49999999994,40307.69999999996,1013.799999999978,0.1420646402820995,137,94,0,0,10890,4.432520389556885,0.0471544722293285,0.8631772268135905,9400.0,False,1200
22,RCW1200,3600,1200,0.0,1200,-10000.0,38894.40000000001,37687.100000000006,1207.300000000002,0.1809440085614164,139,94,0,0,10875,4.392829418182373,0.0467322278530039,0.864367816091954,9400.0,False,1200
23,RCW1200,3600,1200,0.0,1200,-10000.0,41477.60000000002,37461.9,4015.700000000019,0.6054707773574171,103,94,0,0,10867,4.276359796524048,0.0454931893247239,0.8650041409772706,9400.0,False,1200
24,RCW1200,3600,1200,0.0,1200,-10000.0,36736.20000000001,34314.90000000001,2421.300000000004,0.3985543844264114,134,94,0,0,10866,4.339026212692261,0.0461598533265134,0.8650837474691699,9400.0,False,1200
