seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
20,RW3600_CW1200,3600,1200,42432.09999999999,41225.19999999999,1206.8999999999978,0.1653599158862927,186,94,0,0,10905,4.625326633453369,0.0492056024835464,0.8619899128839983,9400.0,False
21,RW3600_CW1200,3600,1200,40451.39999999998,39297.999999999985,1153.3999999999946,0.165779652684838,205,94,0,0,10877,4.489160060882568,0.0477570219242826,0.8642088811253102,9400.0,False
22,RW3600_CW1200,3600,1200,38433.09999999999,37456.8,976.2999999999948,0.1472225527617331,206,94,0,0,10870,4.4675211906433105,0.0475268211770565,0.8647654093836247,9400.0,False
23,RW3600_CW1200,3600,1200,40045.50000000002,36241.8,3803.700000000019,0.5928136892989662,175,94,0,0,10857,4.521300792694092,0.0480989446031286,0.8658008658008658,9400.0,False
24,RW3600_CW1200,3600,1200,36777.99999999999,34330.29999999999,2447.7000000000035,0.4027191818792832,225,94,0,0,10868,4.233445882797241,0.0450366583276302,0.8649245491350755,9400.0,False
0,RW3600_CW1800,3600,1800,39762.99999999997,36996.2,2766.799999999973,0.4224179602407596,212,94,0,0,10887,5.4734485149383545,0.0582281756908335,0.8634150822081382,9400.0,False
1,RW3600_CW1800,3600,1800,39956.8,36516.50000000001,3440.2999999999865,0.5321436658996371,250,94,0,0,10872,5.436406135559082,0.0578341078250966,0.8646063281824872,9400.0,False
2,RW3600_CW1800,3600,1800,40425.19999999999,36537.9,3887.29999999999,0.6009332053193343,234,94,0,0,10879,5.528107404708862,0.0588096532415836,0.8640500045960107,9400.0,False
3,RW3600_CW1800,3600,1800,37032.099999999955,35951.799999999974,1080.299999999978,0.16972486177922,213,94,0,0,10887,5.551997900009155,0.0590638074469059,0.8634150822081382,9400.0,False
4,RW3600_CW1800,3600,1800,53114.70000000001,52167.00000000002,947.6999999999908,0.1026116674745107,208,94,0,0,10965,8.295095205307007,0.0882456936734788,0.8572731418148655,9400.0,False
5,RW3600_CW1800,3600,1800,37113.800000000025,36352.30000000001,761.5000000000155,0.1183204303502079,257,94,0,0,10883,5.47862434387207,0.0582832377007667,0.8637324267205734,9400.0,False
6,RW3600_CW1800,3600,1800,40723.999999999985,36870.49999999999,3853.499999999995,0.5903343615335581,258,94,0,0,10888,5.417092561721802,0.0576286442736361,0.8633357825128581,9400.0,False
7,RW3600_CW1800,3600,1800,38013.8,35019.100000000006,2994.699999999998,0.483025511258675,233,94,0,0,10871,5.499417066574097,0.0585044368784478,0.8646858614662865,9400.0,False
8,RW3600_CW1800,3600,1800,37666.89999999998,35588.90000000001,2077.9999999999727,0.329801559623213,215,93,0,0,10870,5.451817274093628,0.0586216911192863,0.8555657773689054,9300.0,False
9,RW3600_CW1800,3600,1800,37819.2,36205.3,1613.9000000000008,0.2517828805527017,219,94,0,0,10871,5.308076620101929,0.0564689002138503,0.8646858614662865,9400.0,False
10,RW3600_CW1800,3600,1800,36841.49999999997,34206.899999999994,2634.5999999999767,0.4350334947845938,291,94,0,0,10874,5.534440040588379,0.058877021708387,0.8644473054993563,9400.0,False
11,RW3600_CW1800,3600,1800,25813.89999999999,23956.699999999997,1857.199999999999,0.2737165225337635,151,52,0,0,4892,183.9856209754944,3.538185018759507,1.062959934587081,5200.0,True
12,RW3600_CW1800,3600,1800,37951.59999999998,36986.69999999998,964.8999999999968,0.1473528188644699,215,94,0,0,10874,5.511413335800171,0.0586320567638316,0.8644473054993563,9400.0,False
13,RW3600_CW1800,3600,1800,44540.6,39157.5,5383.099999999997,0.7764959907614567,236,94,0,0,10905,5.596123695373535,0.0595332308018461,0.8619899128839983,9400.0,False
14,RW3600_CW1800,3600,1800,38682.20000000001,34639.5,4042.700000000013,0.6592067209050732,236,94,0,0,10866,5.4971232414245605,0.05848003448324,0.8650837474691699,9400.0,False
15,RW3600_CW1800,3600,1800,40223.10000000001,38300.1,1923.0000000000132,0.283596654311093,190,93,0,0,10882,5.460606813430786,0.0587162022949546,0.8546223120749862,9300.0,False
16,RW3600_CW1800,3600,1800,38610.09999999999,37167.499999999985,1442.6000000000022,0.2192321810159979,267,94,0,0,10878,5.60479474067688,0.0596254759646476,0.8641294355580069,9400.0,False
17,RW3600_CW1800,3600,1800,40996.400000000016,39922.500000000015,1073.9000000000042,0.1519385017262159,192,93,0,0,10900,5.529480695724487,0.0594567816744568,0.8532110091743119,9300.0,False
18,RW3600_CW1800,3600,1800,43286.39999999998,37571.3,5715.099999999985,0.8591902464246493,246,94,0,0,10880,5.660703659057617,0.0602202516921023,0.8639705882352942,9400.0,False
19,RW3600_CW1800,3600,1800,43240.79999999999,41842.69999999999,1398.0999999999983,0.1887297052905389,242,95,0,0,10896,5.527076959609985,0.0581797574695787,0.8718795888399413,9500.0,False
20,RW3600_CW1800,3600,1800,39685.3,38649.600000000006,1035.6999999999937,0.1513598537164101,207,94,0,0,10889,5.532163858413696,0.058852807004401,0.8632564973826797,9400.0,False
21,RW3600_CW1800,3600,1800,38077.9,37554.0,523.8999999999983,0.0787977693074351,235,94,0,0,10883,5.384324073791504,0.0572800433382074,0.8637324267205734,9400.0,False
22,RW3600_CW1800,3600,1800,38738.99999999998,35383.89999999998,3355.0999999999985,0.5355764801331854,238,94,0,0,10858,5.3264031410217285,0.0566638632023588,0.8657211272794254,9400.0,False
