seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,DISPATCHER_PRIORITY_TTL,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,ttl
4,TTL1800,3600,1200,120,900,1800.0,60,39733.799999999974,37481.29999999999,2252.4999999999836,0.3394469265450238,13,40,0,54,10900,2.204550266265869,0.05511375665664673,0.3669724770642202,4000.0,False,1800
5,TTL1800,3600,1200,120,900,1800.0,60,39037.3,37081.1,1956.2000000000007,0.29797674541762514,16,49,0,45,10882,2.663954257965088,0.05436641342785894,0.450284874104025,4900.0,False,1800
6,TTL1800,3600,1200,120,900,1800.0,60,38967.09999999998,35236.39999999999,3730.699999999988,0.5980266285575551,17,47,0,47,10875,2.678462028503418,0.05698855379794506,0.432183908045977,4700.0,False,1800
7,TTL1800,3600,1200,120,900,1800.0,60,40698.499999999985,37002.5,3695.9999999999836,0.5641864115210485,17,44,0,50,10888,2.550875425338745,0.05797444148497148,0.4041146216017634,4400.0,False,1800
8,TTL1800,3600,1200,120,900,1800.0,60,40934.599999999955,36833.29999999998,4101.2999999999765,0.628930468228057,15,43,0,50,10891,2.7031233310699463,0.06286333328069643,0.39482141217519057,4300.0,False,1800
9,TTL1800,3600,1200,120,900,1800.0,60,40190.29999999998,37007.09999999999,3183.1999999999916,0.4858482012109278,15,50,0,44,10887,2.857243537902832,0.05714487075805664,0.45926334160007354,5000.0,False,1800
10,TTL1800,3600,1200,120,900,1800.0,60,37713.99999999997,34519.899999999994,3194.099999999978,0.5226376669689042,14,45,0,49,10888,2.5931193828582764,0.057624875174628366,0.41329904481998525,4500.0,False,1800
11,TTL1800,3600,1200,120,900,1800.0,60,40752.899999999994,37571.600000000006,3181.2999999999847,0.47826286607174057,15,46,0,48,10898,2.6177072525024414,0.05690667940222699,0.42209579739401726,4600.0,False,1800
12,TTL1800,3600,1200,120,900,1800.0,60,46385.39999999996,38881.89999999997,7503.499999999988,1.0900292062220867,18,50,0,44,10900,3.1439402103424072,0.06287880420684815,0.45871559633027525,5000.0,False,1800
13,TTL1800,3600,1200,120,900,1800.0,60,40757.69999999998,37734.19999999999,3023.4999999999905,0.4525812448333649,13,47,0,47,10899,2.684368133544922,0.057114215607338766,0.4312322231397376,4700.0,False,1800
14,TTL1800,3600,1200,120,900,1800.0,60,42383.299999999974,38502.899999999994,3880.399999999979,0.5692522832374606,16,45,0,49,10891,2.583256483078003,0.05740569962395562,0.4131851987879901,4500.0,False,1800
15,TTL1800,3600,1200,120,900,1800.0,60,39510.99999999998,37283.09999999999,2227.8999999999837,0.33752457916220885,15,47,0,47,10887,2.6326262950897217,0.056013325427440884,0.4317075411040691,4700.0,False,1800
16,TTL1800,3600,1200,120,900,1800.0,60,40922.09999999998,38135.999999999985,2786.0999999999885,0.41265136688358683,15,42,0,52,10891,2.642002820968628,0.06290482907068162,0.3856395188687908,4200.0,False,1800
